id;idversion_init;idversion_end;file;begin_line;end_line;rule;ruleset;package;class;function;priority;violation;violation_nonumbers;version_init;version_end;date_init;data_end
5906;17;0;upload\admin\controller\extension\payment\pp_express.php;2;1386;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentPPExpress;;3;The class ControllerExtensionPaymentPPExpress has 1385 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentPPExpress has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
6233;17;20;upload\admin\model\extension\openbay\openbay.php;2;1035;ExcessiveClassLength;Code Size Rules;#NAME?;ModelExtensionOpenBayOpenbay;;3;The class ModelExtensionOpenBayOpenbay has 1034 lines of code. Current threshold is 1000. Avoid really long classes.;The class ModelExtensionOpenBayOpenbay has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;3.0.0.0;2016-07-30;2017-06-19
6715;17;0;upload\catalog\controller\extension\payment\klarna_checkout.php;2;1865;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentKlarnaCheckout;;3;The class ControllerExtensionPaymentKlarnaCheckout has 1864 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentKlarnaCheckout has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
6818;17;0;upload\catalog\controller\extension\payment\pp_express.php;2;1942;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentPPExpress;;3;The class ControllerExtensionPaymentPPExpress has 1941 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentPPExpress has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
7318;17;0;upload\catalog\model\extension\shipping\royal_mail.php;243;1328;ExcessiveClassLength;Code Size Rules;#NAME?;ModelExtensionShippingRoyalMail;;3;The class ModelExtensionShippingRoyalMail has 1086 lines of code. Current threshold is 1000. Avoid really long classes.;The class ModelExtensionShippingRoyalMail has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
7463;20;0;upload\admin\controller\extension\payment\pp_braintree.php;2;1132;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentPPBraintree;;3;The class ControllerExtensionPaymentPPBraintree has 1131 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentPPBraintree has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;;2017-06-19;
7620;20;0;upload\admin\controller\marketplace\marketplace.php;2;1111;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerMarketplaceMarketplace;;3;The class ControllerMarketplaceMarketplace has 1110 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerMarketplaceMarketplace has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;;2017-06-19;
7651;20;0;upload\admin\controller\marketplace\openbay.php;2;2111;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerMarketplaceOpenbay;;3;The class ControllerMarketplaceOpenbay has 2110 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerMarketplaceOpenbay has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;;2017-06-19;
7851;20;0;upload\catalog\controller\extension\payment\pp_braintree.php;2;1635;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentPPBraintree;;3;The class ControllerExtensionPaymentPPBraintree has 1634 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentPPBraintree has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;;2017-06-19;
7918;20;26;upload\catalog\model\extension\openbay\ebay_order.php;2;1202;ExcessiveClassLength;Code Size Rules;#NAME?;ModelExtensionOpenBayEbayOrder;;3;The class ModelExtensionOpenBayEbayOrder has 1201 lines of code. Current threshold is 1000. Avoid really long classes.;The class ModelExtensionOpenBayEbayOrder has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;3.0.3.0;2017-06-19;2019-01-02
8015;20;0;upload\system\library\template\Twig\Environment.php;17;1418;ExcessiveClassLength;Code Size Rules;#NAME?;Twig_Environment;;3;The class Twig_Environment has 1402 lines of code. Current threshold is 1000. Avoid really long classes.;The class Twig_Environment has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.0;;2017-06-19;
8251;21;0;upload\admin\controller\extension\payment\squareup.php;3;1079;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentSquareup;;3;The class ControllerExtensionPaymentSquareup has 1077 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentSquareup has  lines of code. Current threshold is . Avoid really long classes.;3.0.0.2;;2017-07-04;
8377;26;0;upload\admin\controller\extension\advertise\google.php;8;2026;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionAdvertiseGoogle;;3;The class ControllerExtensionAdvertiseGoogle has 2019 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionAdvertiseGoogle has  lines of code. Current threshold is . Avoid really long classes.;3.0.3.0;;2019-01-02;
8524;26;0;upload\system\library\googleshopping\googleshopping.php;9;1690;ExcessiveClassLength;Code Size Rules;googleshopping;Googleshopping;;3;The class Googleshopping has 1682 lines of code. Current threshold is 1000. Avoid really long classes.;The class Googleshopping has  lines of code. Current threshold is . Avoid really long classes.;3.0.3.0;;2019-01-02;
4;1;0;upload\admin\controller\catalog\attribute.php;113;265;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogAttribute;;3;The method getList() has 153 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
8;1;20;upload\admin\controller\catalog\attribute.php;267;368;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogAttribute;;3;The method getForm() has 102 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;3.0.0.0;2013-04-28;2017-06-19
15;1;0;upload\admin\controller\catalog\attribute_group.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogAttributeGroup;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
24;1;0;upload\admin\controller\catalog\category.php;107;208;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogCategory;;3;The method getList() has 102 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
28;1;0;upload\admin\controller\catalog\category.php;210;427;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogCategory;;3;The method getForm() has 218 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
36;1;0;upload\admin\controller\catalog\download.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogDownload;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
40;1;0;upload\admin\controller\catalog\download.php;264;398;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogDownload;;3;The method getForm() has 135 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
52;1;0;upload\admin\controller\catalog\filter.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogFilter;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
56;1;20;upload\admin\controller\catalog\filter.php;264;371;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogFilter;;3;The method getForm() has 108 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;3.0.0.0;2013-04-28;2017-06-19
64;1;0;upload\admin\controller\catalog\information.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogInformation;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
68;1;0;upload\admin\controller\catalog\information.php;264;422;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogInformation;;3;The method getForm() has 159 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
75;1;0;upload\admin\controller\catalog\manufacturer.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogManufacturer;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
79;1;0;upload\admin\controller\catalog\manufacturer.php;264;405;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogManufacturer;;3;The method getForm() has 142 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
86;1;0;upload\admin\controller\catalog\option.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogOption;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
90;1;0;upload\admin\controller\catalog\option.php;264;419;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogOption;;3;The method getForm() has 156 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
112;1;0;upload\admin\controller\catalog\product.php;227;518;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogProduct;;3;The method getList() has 292 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
116;1;0;upload\admin\controller\catalog\product.php;520;1254;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogProduct;;3;The method getForm() has 735 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
128;1;0;upload\admin\controller\catalog\review.php;113;271;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogReview;;3;The method getList() has 159 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
132;1;0;upload\admin\controller\catalog\review.php;273;421;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCatalogReview;;3;The method getForm() has 149 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
158;1;20;upload\admin\controller\common\header.php;3;195;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCommonHeader;;3;The method index() has 193 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;3.0.0.0;2013-04-28;2017-06-19
161;1;7;upload\admin\controller\common\home.php;3;203;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCommonHome;;3;The method index() has 201 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
164;1;7;upload\admin\controller\common\home.php;205;319;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerCommonHome;;3;The method chart() has 115 lines of code. Current threshold is set to 100. Avoid really long methods.;The method chart() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
180;1;0;upload\admin\controller\design\banner.php;113;262;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerDesignBanner;;3;The method getList() has 150 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
184;1;0;upload\admin\controller\design\banner.php;264;401;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerDesignBanner;;3;The method getForm() has 138 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
193;1;7;upload\admin\controller\design\custom_field.php;113;320;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerDesignCustomField;;3;The method getList() has 208 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
197;1;7;upload\admin\controller\design\custom_field.php;322;502;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerDesignCustomField;;3;The method getForm() has 181 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
208;1;0;upload\admin\controller\design\layout.php;113;259;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerDesignLayout;;3;The method getList() has 147 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
215;1;7;upload\admin\controller\extension\feed.php;3;103;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerExtensionFeed;;3;The method index() has 101 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
219;1;7;upload\admin\controller\extension\manager.php;37;160;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerExtensionManager;;3;The method upload() has 124 lines of code. Current threshold is set to 100. Avoid really long methods.;The method upload() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
224;1;7;upload\admin\controller\extension\payment.php;3;114;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerExtensionPayment;;3;The method index() has 112 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
228;1;7;upload\admin\controller\extension\shipping.php;3;105;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerExtensionShipping;;3;The method index() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
232;1;7;upload\admin\controller\extension\total.php;3;105;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerExtensionTotal;;3;The method index() has 103 lines of code. Current threshold is set to 100. Avoid really long methods.;The method index() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
243;1;0;upload\admin\controller\localisation\country.php;113;265;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerLocalisationCountry;;3;The method getList() has 153 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
247;1;0;upload\admin\controller\localisation\country.php;267;392;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerLocalisationCountry;;3;The method getForm() has 126 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getForm() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
257;1;0;upload\admin\controller\localisation\currency.php;113;268;ExcessiveMethodLength;Code Size Rules;#NAME?;ControllerLocalisationCurrency;;3;The method getList() has 156 lines of code. Current threshold is set to 100. Avoid really long methods.;The method getList() has  lines of code. Current threshold is set to . Avoid really long methods.;1.5.5.1;;2013-04-28;
